country,year,turnoutreg,closeness,closeness_per,weekday,streltype,compulsory,populationNohl,concurrent,v2x_polyarchy,democracy,gini
Albania,1996,89.08,578816,35.1,Sunday,L,0,3283000,0,0.381,FALSE,0.4676298
Albania,2017,46.75,308337,19.490000000000002,Sunday,L,0,NA,0,0.52,TRUE,0.49776044
Albania,2005,48,98643,7.300000000000001,Sunday,L,0,3135000,0,0.505,TRUE,0.47448188
Algeria,1988,89.1,9836830,86.52000000000001,Thursday,P,0,23758000,0,0.206,FALSE,0.6086116
Algeria,2007,35.6,33424,0.6000000000000014,Thursday,L,0,NA,0,0.333,FALSE,0.50304
Algeria,2004,58.1,7997772,78.6,Thursday,P,0,NA,0,0.336,FALSE,0.5143018
Algeria,1995,74.9,4116644,35.4,Thursday,P,0,27600000,0,0.186,FALSE,0.54793733
Algeria,1991,59,1647275,23.9,Thursday,L,0,25680000,0,0.351,FALSE,0.5826323
Algeria,1999,60.9,6179451,61.2,Thursday,P,0,NA,0,0.327,FALSE,0.53301585
Algeria,1997,65.6,1980280,18.900000000000002,Thursday,L,0,29830370,0,0.32,FALSE,0.5404821
Algeria,2009,74.5,12307447,86,Thursday,P,0,NA,0,0.328,FALSE,0.4955184
Angola,2008,87.4,4595853,71.19999999999999,Saturday,L,0,NA,0,0.189,FALSE,0.60936785
Argentina,2007,76.21,3568118,17.25,Sunday,L,1,NA,1,0.795,TRUE,0.5875013
Argentina,2017,77.61,465571,1.910000000000002,Sunday,L,1,NA,0,0.746,TRUE,0.5813541
Argentina,2011,79.25,7497108,36.44,Sunday,L,1,NA,1,0.778,TRUE,0.5548189
Argentina,2003,78.2,2821731,13.599999999999998,Sunday,P,1,38740807,0,0.813,TRUE,0.6189456
Argentina,2009,73.29,139839,0.72999999999999865,Sunday,L,1,NA,0,0.777,TRUE,0.56897336
Argentina,2015,81.07,737359,3,Sunday,P,1,NA,1,0.777,TRUE,0.5628818
Argentina,2007,76.2,4248651,22.25,Sunday,P,1,NA,1,0.795,TRUE,0.5875013
Argentina,2015,80.77,678774,2.799999999999997,Sunday,P,1,NA,0,0.777,TRUE,0.5628818
Argentina,2005,73.33,3743381,21.75,Sunday,L,1,NA,0,0.806,TRUE,0.5925512
Argentina,2001,75.6,2821731,19.099999999999998,Sunday,L,1,37500000,0,0.84,TRUE,0.6608881
Argentina,2013,77.64,2936100,12.98,Sunday,L,1,NA,0,0.788,TRUE,0.5417377
Argentina,2015,80.82,4701304,20.17,Sunday,L,1,NA,1,0.777,TRUE,0.5628818
Armenia,1999,51.7,317972,29.4,Sunday,L,0,3798200,0,0.42,FALSE,0.5529118
Armenia,2017,60.86,342282,21.8,Sunday,L,0,NA,0,0.387,FALSE,0.5389757
Armenia,2007,59.9,253775,18.779999999999994,Saturday,L,0,NA,0,0.354,FALSE,0.49655297
Armenia,2013,60.09,321488,21.89,Monday,P,0,NA,0,0.355,FALSE,0.4893882
Armenia,1996,60.3,130759,10.299999999999997,Sunday,P,0,3780700,0,0.421,FALSE,0.58842224
Armenia,2008,72.14,511147,31.32,Tuesday,P,0,NA,0,0.32,FALSE,0.4811393
Armenia,2003,51,569394,53.839999999999996,Sunday,L,0,NA,0,0.356,FALSE,0.5267976
Armenia,2012,61.83,209767,13.900000000000002,Sunday,L,0,NA,0,0.356,FALSE,0.48179293
Armenia,2003,67.04,540580,34.7,Wednesday,P,0,NA,0,0.356,FALSE,0.5267976
Armenia,2003,63.21,310917,21.259999999999998,Wednesday,P,0,NA,0,0.356,FALSE,0.5267976
Armenia,2018,48.62,781063,62.10000000000001,Sunday,L,0,NA,0,0.536,TRUE,0.53986424
Australia,2007,94.8,159189,1.2999999999999972,Saturday,L,1,NA,0,0.876,TRUE,0.4812281
Australia,2016,91,991349,7.299999999999997,Saturday,L,1,NA,0,0.883,TRUE,0.48339278
Australia,2001,95.4,593538,4.900000000000006,Saturday,L,1,NA,0,0.884,TRUE,0.46136788
Australia,1983,94.6,510111,5.899999999999999,Saturday,L,1,15393500,0,0.876,TRUE,0.42179856
Australia,1975,95.4,789074,10.200000000000003,Saturday,L,1,13849300,0,0.867,TRUE,0.41793942
Australia,1974,95.4,264565,3.5999999999999943,Saturday,L,1,13709500,0,0.868,TRUE,0.42311
Australia,1993,95.8,69568,0.6000000000000014,Saturday,L,1,17667100,0,0.888,TRUE,0.4519824
Australia,1990,95.3,397989,4.100000000000001,Saturday,L,1,17085400,0,0.89,TRUE,0.43867373
Australia,2004,94.3,1062471,9.100000000000001,Saturday,L,1,NA,0,0.875,TRUE,0.4747608
Australia,1984,94.2,220088,2.5,Saturday,L,1,15579400,0,0.884,TRUE,0.42413527
Australia,1977,95.1,670289,8.5,Saturday,L,1,14192200,0,0.863,TRUE,0.41468245
Australia,1963,95.7,31137,0.5,Saturday,L,1,11022811,0,0.837,TRUE,0.46207562
Australia,1969,95,221573,3.700000000000003,Saturday,L,1,12388192,0,0.844,TRUE,0.44023964
Australia,1949,96,197055,4.299999999999997,Saturday,L,1,8050882,0,0.815,TRUE,0.49602222
Australia,1946,94,263397,6,Saturday,L,1,7517081,0,0.812,TRUE,0.48458228
Australia,1951,96,123672,2.6999999999999957,Saturday,L,1,8528129,0,0.794,TRUE,0.43311238
Australia,2010,93.2,697268,5.600000000000001,Saturday,L,1,NA,0,0.895,TRUE,0.4869819
Australia,1958,95.5,186610,3.8000000000000043,Saturday,L,1,9951618,0,0.83,TRUE,0.46772474000000003
Australia,1987,93.8,35475,0.30000000000000426,Saturday,L,1,16263300,0,0.883,TRUE,0.449285
Australia,1972,95.4,535638,8.100000000000001,Saturday,L,1,13283900,0,0.862,TRUE,0.43788695
Australia,1954,96.1,135119,2.8999999999999986,Saturday,L,1,9090395,0,0.819,TRUE,0.42483565
Australia,1980,94.4,103984,1.2999999999999972,Saturday,L,1,14695400,0,0.871,TRUE,0.42094216
Australia,1955,95,132101,3,Saturday,L,1,9311825,0,0.821,TRUE,0.42274076
Australia,1996,95.8,924396,8.400000000000006,Saturday,L,1,18310700,0,0.888,TRUE,0.45645446
Australia,1966,95.1,571056,10,Saturday,L,1,11710387,0,0.836,TRUE,0.44550252
Australia,2013,93.3,1571527,12.200000000000003,Saturday,L,1,NA,0,0.877,TRUE,0.4882326
Australia,1961,95.3,304716,5.799999999999997,Saturday,L,1,10603931,0,0.829,TRUE,0.4546369
Australia,1998,95,65497,0.6000000000000014,Saturday,L,1,18730359,0,0.881,TRUE,0.46216103
Austria,2010,53.57,2026450,64.09,Sunday,P,0,NA,0,0.867,TRUE,0.45210794
Austria,2008,78.8,160550,3.3000000000000007,Sunday,L,0,8347341,0,0.872,TRUE,0.45639881
Austria,2013,74.9,132729,2.8000000000000007,Sunday,L,0,NA,0,0.869,TRUE,0.42535633
Austria,2006,78.5,47493,1,Sunday,L,0,8281948,0,0.863,TRUE,0.47433436
Austria,2004,71.6,197364,4.799999999999997,Sunday,P,0,8174733,0,0.859,TRUE,0.44233763
Austria,2016,68.5,586753,14,Sunday,P,0,NA,0,0.841,TRUE,0.4431692
Austria,2016,74.2,348231,7.599999999999994,Sunday,P,0,NA,0,0.841,TRUE,0.4431692
Azerbaijan,1995,86.1,1882343,53,Sunday,L,0,7726200,0,0.251,FALSE,0.5556126
Azerbaijan,2003,54,2066402,67.8,Wednesday,P,0,NA,0,0.236,FALSE,0.47461006
Bangladesh,1991,55.4,247683,0.6999999999999993,Wednesday,L,0,111455000,0,0.492,FALSE,0.4925115
Bangladesh,1988,52.5,14416793,55.800000000000004,Thursday,L,0,106645000,0,0.314,FALSE,0.5104734
Belarus,2006,92.9,5095763,81,Sunday,P,0,NA,0,0.227,FALSE,0.4475794
Belarus,2016,74.8,2603507,50.6,Sunday,L,0,NA,0,0.258,FALSE,0.42544457
Belarus,2015,87.2,4716253,77.2,Sunday,P,0,NA,0,0.251,FALSE,0.42278478
Belarus,2001,83.9,3701419,61.400000000000006,Sunday,P,0,9990000,0,0.247,FALSE,0.47221053
Belarus,2010,90.6,4713632,73.9,Sunday,P,0,NA,0,0.229,FALSE,0.45383504
Belgium,2003,91.6,29473,0.5,Sunday,L,1,10396421,0,0.884,TRUE,0.44499046
Belgium,1991,92.7,56280,0.8999999999999986,Sunday,L,1,10021997,0,0.871,TRUE,0.44180492
